Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
heart,ARM,2,243,27,3,1.6235862509929575,0.0145174560020677,0.6666666666666667,0.6666666666666666,0.6703296703296705,0.6666666666666666,0.6675862068965517
heart,ARM,2,243,27,4,1.6401585349958625,0.0147556510055437,0.6666666666666667,0.6666666666666666,0.6703296703296705,0.6666666666666666,0.6675862068965517
heart,ARM,2,243,27,5,1.5992290430003775,0.0143909570033429,0.6666666666666667,0.6666666666666666,0.6703296703296705,0.6666666666666666,0.6675862068965517
heart,ARM,2,243,27,6,1.6002719179959968,0.0142752829997334,0.6250000000000001,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297
heart,ARM,2,243,27,7,1.623635589989135,0.0146884849964408,0.6250000000000001,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297
heart,ARM,2,243,27,8,1.636736212996766,0.0144594309967942,0.6166666666666667,0.6296296296296297,0.6261437908496732,0.6296296296296297,0.624368686868687
heart,ARM,2,243,27,9,1.633340397005668,0.0146357280027586,0.6833333333333333,0.7037037037037037,0.7134502923976608,0.7037037037037037,0.6915032679738563
heart,ARM,2,243,27,10,1.60414077299356,0.0143237039883388,0.7000000000000001,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037
hepatitis,ARM,2,71,9,1,0.3404332719946978,0.003241035999963,0.8571428571428572,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7962962962962963
hepatitis,ARM,2,71,9,2,0.3563829120103037,0.0034909360110759,0.6785714285714286,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
hepatitis,ARM,2,71,9,3,0.3494425320095615,0.0034261940018041,0.5,0.7777777777777778,0.6049382716049383,0.7777777777777778,0.6805555555555557
hepatitis,ARM,2,72,8,4,0.3536561859946232,0.0030519269930664,0.8571428571428572,0.75,0.9166666666666666,0.75,0.7916666666666666
hepatitis,ARM,2,72,8,5,0.365115580993006,0.0031485679937759,0.9285714285714286,0.875,0.9375,0.875,0.891025641025641
hepatitis,ARM,2,72,8,6,0.372946072006016,0.003135877996101,0.4285714285714285,0.75,0.75,0.75,0.75
hepatitis,ARM,2,72,8,7,0.3582478510070359,0.0030724720127182,0.9285714285714286,0.875,0.9375,0.875,0.891025641025641
hepatitis,ARM,2,73,7,8,0.3671526630059816,0.0027950669900747,0.4166666666666667,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
hepatitis,ARM,2,73,7,9,0.3808573919959599,0.0028072639979654,0.9166666666666669,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8744588744588745
hepatitis,ARM,2,73,7,10,0.3670395629887935,0.0027094550023321,0.4166666666666667,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
housevotes,ARM,2,208,24,1,1.0034778219996952,0.0087642409926047,0.8776223776223776,0.875,0.8784722222222223,0.875,0.8752173913043477
housevotes,ARM,2,208,24,2,1.012113937002141,0.0088940540008479,0.8776223776223776,0.875,0.8784722222222223,0.875,0.8752173913043477
housevotes,ARM,2,208,24,3,0.9910388669959502,0.0088249770051334,0.9160839160839164,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
housevotes,ARM,2,208,24,4,0.951819890004117,0.0083332420035731,0.8706293706293707,0.875,0.8767857142857144,0.875,0.8743386243386245
